default,300,100,100,100,100,200,200,200,200,200,200,,,20,20,20,20,,20,,20,,20,wpn_generic,200,200,0.531,120,250,,,,,200,200,0.531,25.6,25.6,,,,,20,20,0.531,25.6,25.6,,,,,20,20,0.531,25.6,25.6,,,,,20,20,0.531,25.6,25.6,,,,,20,20,0.531,25.6,25.6,,,,,20,20,0.531,25.6,25.6,,,,,20,20,0.531,25.6,25.6,,,
arc170,6000,3185,1592,3185,1592,10000,10000,400,500,8000,8000,3185,1592,20,20,20,20,,20,,20,,20,wpn_incom_disruptor,3185,1592,0.32,4000,5400,,,,,200,200,0.345,23.6,23.6,,,,wpn_std_countermeasure,250,250,0.1,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assaultship,300,100,100,100,100,200,200,200,200,800,800,,,20,20,20,20,,20,,20,,20,wpn_generic,200,200,1.358,120,250,,,,,200,200,1.358,65.536,65.536,,,,,20,20,1.358,65.536,65.536,,,,,20,20,1.358,65.536,65.536,,,,,20,20,1.358,65.536,65.536,,,,,20,20,1.358,65.536,65.536,,,,,20,20,1.358,65.536,65.536,,,,,20,20,1.358,65.536,65.536,,,
awing,300,100,100,100,100,500,600,200,200,500,500,,,20,20,20,20,,20,,20,,20,wpn_awing_blaster,200,200,0.509,180,250,,,,wpn_slayn_imagerec_missile_s01,200,200,3,24.576,24.576,,,50,,20,20,0.509,24.576,24.576,,,,,20,20,0.509,24.576,24.576,,,,,20,20,0.509,24.576,24.576,,,,,20,20,0.509,24.576,24.576,,,,,20,20,0.509,24.576,24.576,,,,,20,20,0.509,24.576,24.576,,,
blacksun_heavy_s01,519,300,300,100,100,600,800,400,500,700,700,,,20,20,20,20,,20,,20,,20,wpn_incom_disruptor,200,200,0.345,320,410,,,,wpn_incom_disruptor,200,200,0.345,23.6,23.6,,,,wpn_incom_disruptor,20,20,0.345,23.6,23.6,,,,wpn_xwing_missile_s01,200,200,6,471,1543,0.9,0.23,12,wpn_std_countermeasure,250,250,0.1,25,100,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
blacksun_heavy_s02,519,300,300,100,100,600,800,400,500,700,700,,,20,20,20,20,,20,,20,,20,wpn_incom_disruptor,200,200,0.345,320,410,,,,wpn_incom_disruptor,200,200,0.345,23.6,23.6,,,,wpn_incom_disruptor,20,20,0.345,23.6,23.6,,,,wpn_xwing_missile_s01,200,200,6,471,1543,0.9,0.23,12,wpn_std_countermeasure,250,250,0.1,25,100,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
blacksun_heavy_s03,519,300,300,100,100,600,800,400,500,700,700,,,20,20,20,20,,20,,20,,20,wpn_incom_disruptor,200,200,0.345,320,410,,,,wpn_incom_disruptor,200,200,0.345,23.6,23.6,,,,wpn_incom_disruptor,20,20,0.345,23.6,23.6,,,,wpn_xwing_missile_s01,200,200,6,471,1543,0.9,0.23,12,wpn_std_countermeasure,250,250,0.1,25,100,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
blacksun_heavy_s04,519,300,300,100,100,600,800,400,500,700,700,,,20,20,20,20,,20,,20,,20,wpn_incom_disruptor,200,200,0.345,320,410,,,,wpn_incom_disruptor,200,200,0.345,23.6,23.6,,,,wpn_incom_disruptor,20,20,0.345,23.6,23.6,,,,wpn_xwing_missile_s01,200,200,6,471,1543,0.9,0.23,12,wpn_std_countermeasure,250,250,0.1,25,100,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
blacksun_light_s01,519,300,300,100,100,300,500,400,500,300,300,,,20,20,20,20,,20,,20,,20,wpn_incom_disruptor,200,200,0.345,120,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blacksun_light_s02,519,300,300,100,100,300,500,400,500,300,300,,,20,20,20,20,,20,,20,,20,wpn_incom_disruptor,200,200,0.345,120,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blacksun_light_s03,519,300,300,100,100,300,500,400,500,300,300,,,20,20,20,20,,20,,20,,20,wpn_incom_disruptor,200,200,0.345,120,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blacksun_light_s04,519,300,300,100,100,300,500,400,500,300,300,,,20,20,20,20,,20,,20,,20,wpn_incom_disruptor,200,200,0.345,120,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blacksun_medium_s01,519,300,300,100,100,300,500,400,500,300,300,,,20,20,,,,,,,,,wpn_incom_disruptor,200,200,0.345,120,250,,,,wpn_incom_disruptor,200,200,0.345,120,250,,,,,,,,,,,,,wpn_std_countermeasure,250,250,0.1,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blacksun_medium_s02,519,300,300,100,100,300,500,400,500,300,300,,,20,20,,,,,,,,,wpn_incom_disruptor,200,200,0.345,120,250,,,,wpn_incom_disruptor,200,200,0.345,120,250,,,,,,,,,,,,,wpn_std_countermeasure,250,250,0.1,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blacksun_medium_s03,519,300,300,100,100,300,500,400,500,300,300,,,20,20,,,,,,,,,wpn_incom_disruptor,200,200,0.345,120,250,,,,wpn_incom_disruptor,200,200,0.345,120,250,,,,,,,,,,,,,wpn_std_countermeasure,250,250,0.1,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blacksun_medium_s04,519,300,300,100,100,300,500,400,500,300,300,,,20,20,,,,,,,,,wpn_incom_disruptor,200,200,0.345,120,250,,,,wpn_incom_disruptor,200,200,0.345,120,250,,,,,,,,,,,,,wpn_std_countermeasure,250,250,0.1,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bwing,300,100,100,100,100,600,700,200,200,800,800,,,20,20,20,20,,20,,20,,20,wpn_bwing_blaster,200,200,0.679,200,310,,,,wpn_bwing_blaster,200,200,0.679,32.768,32.768,,,,wpn_bwing_blaster,20,20,0.679,32.768,32.768,,,,wpn_bwing_blaster,20,20,0.679,32.768,32.768,,,,,20,20,0.679,32.768,32.768,,,,,20,20,0.679,32.768,32.768,,,,,20,20,0.679,32.768,32.768,,,,,20,20,0.679,32.768,32.768,,,
