anthropology_collector,Aii'tkian Collector (D-502 Anthropologists),1,0.15,story_dantooine_anthro,z95_tier3
anthropology_diplomat,Aii'tkian Diplomat (D-502 Anthropologists),1,0.15,story_dantooine_anthro,z95_tier3
anthropology_guardian,Aii'tkian Guardian (D-502 Anthropologists),1,0.15,story_dantooine_anthro,z95_tier3
anthropology_professor_boss,Professor Kynas' Bodyguard (Aii'tkian Guardian),1,0.14,story_dantooine_anthro,z95_tier4
anthropology_scout,Aii'tkian Scout (D-502 Anthropologists),1,0.15,story_dantooine_anthro,z95_tier3
assaultship,Rebel Assault Cruiser,1,0.68,rebel_tier1,rebel_gunboat_tier1
awing,A-Wing Spearhead,1,0.153,rebel_tier1,awing_tier1
awing_ace,A-Wing Leader,1,0.153,rebel_tier1,awing_tier1
awing_tier10,A-Wing Leader,1,0.25,rebel_tier5,awing_tier10
awing_tier6,A-Wing Leader,1,0.25,rebel_tier5,awing_tier6
awing_tier7,A-Wing Leader,1,0.25,rebel_tier5,awing_tier7
awing_tier8,A-Wing Leader,1,0.25,rebel_tier5,awing_tier8
awing_tier9,A-Wing Leader,1,0.25,rebel_tier5,awing_tier9
aynat_enforcer,Ay'Nat Enforcer,1,0.17,pirate_tier1,z95_tier1
aynat_enforcer_tier1,Ay'Nat Enforcer,1,0.187,pirate_tier1,xwing_tier1
aynat_enforcer_tier2,Ay'Nat Enforcer,1,0.176,pirate_tier2,xwing_tier2
aynat_enforcer_tier3,Ay'Nat Enforcer,1,0.165,pirate_tier3,xwing_tier3
aynat_enforcer_tier4,Ay'Nat Enforcer,1,0.154,pirate_tier4,xwing_tier4
aynat_enforcer_tier5,Ay'Nat Enforcer,1,0.143,pirate_tier5,xwing_tier5
aynat_ghost,Ay'Nat Ghost Elite,1,0.153,pirate_tier1,awing_tier1
aynat_ghost_tier1,Ay'Nat Ghost,1,0.17,pirate_tier1,hutt_medium_s01_tier1
aynat_ghost_tier2,Ay'Nat Ghost,1,0.16,pirate_tier2,hutt_medium_s01_tier2
aynat_ghost_tier3,Ay'Nat Ghost,1,0.15,pirate_tier3,hutt_medium_s01_tier3
aynat_ghost_tier4,Ay'Nat Ghost,1,0.14,pirate_tier4,hutt_medium_s01_tier4
aynat_ghost_tier5,Ay'Nat Ghost,1,0.13,pirate_tier5,hutt_medium_s01_tier5
aynat_intimidator,Ay'Nat Intimidator,1,0.17,pirate_tier1,z95_tier1
aynat_intimidator_tier1,Ay'Nat Intimidator,1,0.204,pirate_tier1,blacksun_heavy_s02_tier1
aynat_intimidator_tier2,Ay'Nat Intimidator,1,0.192,pirate_tier2,blacksun_heavy_s02_tier2
aynat_intimidator_tier3,Ay'Nat Intimidator,1,0.18,pirate_tier3,blacksun_heavy_s02_tier3
aynat_intimidator_tier4,Ay'Nat Intimidator,1,0.168,pirate_tier4,blacksun_heavy_s02_tier4
aynat_intimidator_tier5,Ay'Nat Intimidator,1,0.156,pirate_tier5,blacksun_heavy_s02_tier5
aynat_outlaw,Ay'Nat Outlaw Fighter,1,0.153,pirate_tier1,awing_tier1
aynat_outlaw_tier1,Ay'Nat Outlaw,1,0.187,pirate_tier1,blacksun_medium_s02_tier1
aynat_outlaw_tier2,Ay'Nat Outlaw,1,0.176,pirate_tier2,blacksun_medium_s02_tier2
aynat_outlaw_tier3,Ay'Nat Outlaw,1,0.165,pirate_tier3,blacksun_medium_s02_tier3
